state,year,mean_cover_pct,pct_very_low,pct_low,pct_moderate,pct_high,pct_very_high
UTTARAKHAND,2001,72.60662575521538,4.450028007385985,10.25099610577628,4.936783763767647,27.172724559506236,53.189467563563866
UTTAR PRADESH,2001,65.14192376021445,0.4971287308277804,5.357445129249606,20.51980935088922,62.43592179742361,11.189694991609791
WEST BENGAL,2001,77.87939897579227,0.3417500987465635,0.7059215580895217,5.230874677175621,38.29295085513543,55.42850281085286
ANDAMAN & NICOBAR,2005,94.39924232009257,0.19555577748334296,0.3460322033680139,0.7599856331386057,1.8599465584879051,96.83847982752212
ANDHRA PRADESH,2005,81.26580280767696,0.10514393948100643,1.0300667178146963,4.227634079548498,28.40099574654269,66.23615951661314
ARUNACHAL PRADESH,2005,87.89082818077831,0.09736365259652498,3.765054641595053,3.3373637934851508,9.885888119960123,82.91432979236315
ASSAM,2005,87.17913039647102,1.1061752282342694,1.95559285079315,1.6087987256480811,7.506586351429329,87.82284684389519
BIHAR,2005,78.27387355173943,0.5696922644896153,1.0246279509216492,5.380989277781535,38.979676226459475,54.04501428034772
CHANDIGARH,2005,66.48139377850113,0.0,0.5080969570158194,25.31702076764032,61.392249807268804,12.782632468075064
CHHATTISGARH,2005,86.7474654985076,0.061622202773607714,0.23868007153656695,1.014686870247981,14.520218348618624,84.1647925068232
DADRA & NAGAR HAVELI & DAMAN & DIU,2005,80.10395504052701,0.036690221998425955,0.9065396220533385,5.053156352598442,37.355352093076036,56.64826171027377
DELHI,2005,57.04915374821203,1.3633365464941583,7.702449011772402,45.03101184955532,41.38953578877078,4.513666803407299
GOA,2005,89.53476137979865,0.04711655493574352,0.1560691623481671,2.6691699402110522,8.900573599314036,88.227070743191
GUJARAT,2005,69.30031773060705,12.538634013039546,3.3463141014070255,6.886003119706798,24.07500631879154,53.15404244705506
HARYANA,2005,67.46413344815743,0.1508122014752284,4.266196887298689,16.39378960905214,66.08319554045443,13.106005761719516
HIMACHAL PRADESH,2005,61.823214053873826,2.2083138512789473,30.054586049430508,6.745127361877823,16.321148462420904,44.67082427499182
JAMMU AND KASHMIR,2005,73.32040186175146,1.2235902086274435,6.567407833084838,6.379806301663986,38.47317809999982,47.35601755662394
JHARKHAND,2005,83.920056072364,0.09603106939707225,0.14224376590034668,1.7005325950851122,21.746215581455935,76.3149769881615
